"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Step 3 menyatakan dirinya opsional (""If left unfilled, a default branch
will be created""), tetapi Branch Name diberi tanda wajib (*) — sebuah
kontradiksi di UI.

Test ini memverifikasi satu hal yang pasti: Register terkunci sebelum
checkbox persetujuan dicentang.

Sengaja BERHENTI sebelum menekan Register — test ini tidak membuat data.
","5212","TC-WEB-011 Register requires agreement checkbox","web.tests","2026-08-10","passed","2026-08-10","","test_create_company","",""
"
Setiap field wajib yang kosong harus menahan tombol Next.

Parametrize dipakai supaya tiap field jadi baris terpisah di Allure —
kalau digabung dalam satu test, kegagalan pada field pertama akan
menyembunyikan tiga field berikutnya.

Aplikasi memakai tombol disabled sebagai mekanisme validasi, bukan pesan
error. Karena itu yang di-assert adalah status tombol, bukan teks error
yang memang tidak muncul.
","5414","TC-WEB-012 Required field validation on Step 1","web.tests","2026-08-10","passed","2026-08-10","","test_create_company","",""
"
Edge case paling berisiko pada form ini.

City yang tertinggal saat Province diubah akan membuat alamat yang
mustahil secara geografis ikut tersubmit — mis. Province ""JAWA BARAT""
dengan City ""KOTA GORONTALO"". Happy path tidak pernah menyentuh ini
karena hanya memilih ke bawah, tidak pernah mengubah parent.
","5936","TC-WEB-006 Changing Province resets dependent cascade fields","web.tests","2026-08-10","passed","2026-08-10","","test_create_company","",""
"
Login sudah terjadi di fixture session (storage_state), jadi test ini
memverifikasi HASILNYA — bukan mengulang prosesnya.

Halaman tetap perlu dibuka: storage_state memulihkan sesi, tetapi
context baru selalu mulai dari about:blank.
","890","TC-WEB-001 Login with valid credentials","web.tests","2026-08-10","passed","2026-08-10","","test_login","",""
"
Edge case: input hasil copy-paste sering membawa spasi tak terlihat.

Temuan: aplikasi TIDAK men-trim input, sehingga tombol Log In tetap
disabled untuk email ber-spasi. Test ini mendokumentasikan perilaku
sebenarnya, bukan memaksanya hijau.

Kalau kelak aplikasi menormalisasi input, test ini akan gagal — dan itu
justru benar: perubahan perilaku harus terlihat, bukan lolos diam-diam.
","2427","TC-WEB-004 Email with surrounding whitespace and different case","web.tests","2026-08-10","passed","2026-08-10","","test_login","",""
"
Setiap field wajib yang kosong harus menahan tombol Next.

Parametrize dipakai supaya tiap field jadi baris terpisah di Allure —
kalau digabung dalam satu test, kegagalan pada field pertama akan
menyembunyikan tiga field berikutnya.

Aplikasi memakai tombol disabled sebagai mekanisme validasi, bukan pesan
error. Karena itu yang di-assert adalah status tombol, bukan teks error
yang memang tidak muncul.
","5937","TC-WEB-012 Required field validation on Step 1","web.tests","2026-08-10","passed","2026-08-10","","test_create_company","",""
"
Setiap field wajib yang kosong harus menahan tombol Next.

Parametrize dipakai supaya tiap field jadi baris terpisah di Allure —
kalau digabung dalam satu test, kegagalan pada field pertama akan
menyembunyikan tiga field berikutnya.

Aplikasi memakai tombol disabled sebagai mekanisme validasi, bukan pesan
error. Karena itu yang di-assert adalah status tombol, bukan teks error
yang memang tidak muncul.
","5049","TC-WEB-012 Required field validation on Step 1","web.tests","2026-08-10","passed","2026-08-10","","test_create_company","",""
"
Perilaku inti: Next terkunci selama form belum lengkap, dan terbuka
setelah seluruh field wajib terisi.

Aplikasi memakai tombol disabled sebagai mekanisme validasi, bukan pesan
error — jadi status tombol inilah yang diverifikasi.
","5633","TC-WEB-007a Next stays disabled until Step 1 is complete","web.tests","2026-08-10","passed","2026-08-10","","test_create_company","",""
"","11598","TC-WEB-013 Verify company detail matches input field by field","web.tests","2026-08-10","passed","2026-08-10","","test_verify_detail","",""
"
Setiap field wajib yang kosong harus menahan tombol Next.

Parametrize dipakai supaya tiap field jadi baris terpisah di Allure —
kalau digabung dalam satu test, kegagalan pada field pertama akan
menyembunyikan tiga field berikutnya.

Aplikasi memakai tombol disabled sebagai mekanisme validasi, bukan pesan
error. Karena itu yang di-assert adalah status tombol, bukan teks error
yang memang tidak muncul.
","5213","TC-WEB-012 Required field validation on Step 1","web.tests","2026-08-10","passed","2026-08-10","","test_create_company","",""
